Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
60,67,pc1pjznt8xjr2vd7smh30qqyqtharjf9yf5q3mdwn6,Validator,1000,
60,67,pc1pk3gsu9swnhw2gnfwhdyvgswwy49yxy3gly30kn,Validator,1000,
60,67,pc1pkvt9cljv0vkghv8knfy2r6d92z7vaxvlf8e0k0,Validator,1000,
60,67,pc1pl85dn0gx39r8aa9ejdyaptwgvyj9crmex2ckjq,Validator,1000,
60,67,pc1plj7nhs4hd6ahstgpzg8fp83g3t62wsr4dx3sqc,Validator,1000,
60,67,pc1pllyetkxdzd856xn4ddg7t388ncaw9g9ns3kem3,Validator,1000,
60,67,pc1ppyma4rpzg7zk5hf0nd4akpq05uudh35mp7r4k6,Validator,1000,
60,67,pc1pr4t85x6rv5f6uz7z7aql9nzn39j8n2q2tvlkcs,Validator,1000,
60,67,pc1ptj83t7dcvhnrp8n2q9ljm2wxuwqp0m3gc9dq5y,Validator,1000,
60,67,pc1ptu0wdjrsuyrhqr5tgfw5xcj3zsr0vgs503kpp6,Validator,1000,
60,67,pc1pwa06yvxze7qpjp9xr3l0hy77ywz8skddsztscv,Validator,1000,
60,67,pc1pxfhcqhhcy6yy3qdckg7hf3jpt0uu0qln9apydw,Validator,1000,
60,67,pc1py5tkhpxstrp4g2svrfsyp8jr35vwwvxhvyk7yp,Validator,1000,
60,67,pc1pzl96qj6z77tfeexlxhpq2pa7c9xhve7xftr7rs,Validator,1000,
60,67,pc1p5d0wfufm27dhlxcl6rps8jkngdjedda6d8ykj7,Validator,1000,
60,67,pc1p5sykps60f0j3dvasne34s8rxpd3tum05kdfcde,Validator,1000,
61,45,pc1raea3kqgdf036ncgzwnnq2mc686573e9phjnay3,Account,224.36,
61,45,pc1pamxwn4q234wqf4wttlede3ps4uz90pj7qv2k52,Validator,1000,
61,45,pc1pcsqq2v685s3m7rqm077qpugwq3xl9yeshhvp7t,Validator,1000,
61,45,pc1pelxzhvdk9veuua03xwqyvx2s92r9hs4rmyjhlg,Validator,1000,
61,45,pc1peuthgyzuucapde3ujjrj2cxtrwttldglppnzan,Validator,1000,
61,45,pc1pgc0slhunughh5ahvlu38w5zl33pex9ed60tm2q,Validator,1000,
61,45,pc1pk576vw87qs74gkf4fc953vznawlckv5ksr5y04,Validator,1000,
61,45,pc1pmq4yeen270nxsrq2dcs82um5jgezggu49k2u3a,Validator,1000,
61,45,pc1pqnt6hmnxzgeaqnqvjq68gcqnx46y6vm6anz78j,Validator,1000,
61,45,pc1pr8j62gyc29uhj67ykcsdlud60q5tgp29ykse5l,Validator,1000,
61,45,pc1ps2xd2sgtmr2ed2087gvkqzsjq604upp688azng,Validator,1000,
61,45,pc1pv6acg2nttf4cruf9tzxycl6pgxkpv8suh426mf,Validator,1000,
61,45,pc1pvku7qj0geuefauyh0pcs6m087hfqpphh6v8grq,Validator,1000,
61,45,pc1pw2mne97wjs88n9q6s34cfkwkqjdzsrn6uzq2x8,Validator,1000,
61,45,pc1px4uxmn79q8su7uu2x8vc5qjw92x98ql2389rdq,Validator,1000,
61,45,pc1pxqlc5h9ad0893c50cyn756t2ffe2q9688t7dkv,Validator,1000,
61,45,pc1p0t0mcycpnsyw9qpxl7mczmwn8n26dkeedmts40,Validator,1000,
61,45,pc1p2nh0wpgh26qafq85uly8gqr0uafslfqrfxc29p,Validator,1000,
61,45,pc1p2vacs037l57fvnc2yq926rpufrnmm75e5ssm9f,Validator,1000,
61,45,pc1p38939gal99padgqkzryfehzytf4q0whuh8upjw,Validator,1000,
61,45,pc1p38mshfzcyzf0aq0vxuch9n30u7w793z29akpj0,Validator,1000,
61,45,pc1p49l8n6l28ra3hx7jm9kq204rvfh0g9tuf3hfhv,Validator,1000,
61,45,pc1p4uhtfzr6frpcwg58dr8j3wlf7raxvpkxaklxka,Validator,1000,
61,45,pc1p63gvha0fyeuzkrjsdyrr2794ukeggpn6qq2zdw,Validator,1000,
61,45,pc1p6kjfpvh29s33zwej9pvxeylr7lxswn8tr9udl8,Validator,1000,
61,45,pc1p7kwg5wjaccn0z88z2ttd0x2m0kjsaqfkd2c3d7,Validator,1000,
62,116,pc1rw25r8vd5p4snml6dmh4h5ktf9pf3wfjde3mss0,Account,208.2,
62,116,pc1p0epzc7sjfsdfmeya5fz337mmwdulyftxvugqj7,Validator,1000,
62,116,pc1p0fsk9waw5gynpu4ud7aayvpj0hu0f50ljnlj8x,Validator,1000,
62,116,pc1p2kdfrxyc6mztxcz20rdwj74a524sxy73cn4fpk,Validator,1000,
62,116,pc1p2uj338c6w2dk8hx0c578g40vx60fu4x7q55ygq,Validator,1000,
62,116,pc1p307harrl05rc3t8zvnv2r7rera9e6g5sftnhun,Validator,1000,
62,116,pc1p3epj925k7yhkamumnandquf328ujxauvzt2y8q,Validator,1000,
62,116,pc1p5g30zkvganu7twggqundytfsfn6xl7lc30g3vu,Validator,1000,
62,116,pc1p6yzcf2r6ws6ytrskyh9xjy50sh64wsmfrc54d5,Validator,1000,
62,116,pc1p7l2nf2gw5v4j83sa0pgpn3uqh2hkp98dxxks7t,Validator,1000,
62,116,pc1p9ec4fey0k02kw9kvcft29f0vu296mlasxkamyr,Validator,1000,
62,116,pc1pak8vce48g67pqt5umgmkyqepqcjx238d8kve58,Validator,1000,
62,116,pc1pc6rkz0p9w8pc23dp5vvwk7t3f5d0gj2959v58s,Validator,1000,
62,116,pc1pcwxk7079yahfglweswwsd3z2jtgxjw67wvfqnv,Validator,1000,
62,116,pc1pd7q02xajhaqlurplg3rkqkes8d3frhfhql4v95,Validator,1000,
62,116,pc1pj034akq3ylmlgxm6mwjy4gd6vk9qqgm0kxtur8,Validator,1000,
62,116,pc1pnep6f27uamnlphsh8d6g69tnryqvky0npd4x92,Validator,1000,
62,116,pc1pnj6q6raf2s7vl8nlevz22nayycc830ln744ls5,Validator,1000,
62,116,pc1pqguacj3rrxwwxn6vqmsfjjzpsqh5pf2rj5p787,Validator,1000,
62,116,pc1pt5s5l9x9svwrg6pcaq6vwwqvhfkh4tgwr9ahd5,Validator,1000,
62,116,pc1ptkm3sarlgmhvvthx7wqhsvrla8efcduzs9cft4,Validator,1000,
62,116,pc1pudxl69hjg3lq5wp09jqd3m8vwe7ysauev44g7l,Validator,1000,
62,116,pc1pwevsaqskfdutl0lht5x2y8x842vvw3krnvcle5,Validator,1000,
